title,price,rating,availability,stock_count,in_stock,price_category,rating_category,category
A Light in the Attic,51.77,3,In stock,1,True,Premium,Average,Romance
Tipping the Velvet,53.74,1,In stock,1,True,Premium,Poor,Fiction
Soumission,50.1,1,In stock,1,True,Premium,Poor,Fantasy
Sharp Objects,47.82,4,In stock,1,True,Premium,Good,Travel
Sapiens: A Brief History of Humankind,54.23,5,In stock,1,True,Premium,Good,Romance
The Requiem Red,22.65,1,In stock,1,True,Mid-Range,Poor,Fantasy
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,1,True,Mid-Range,Good,Non-fiction
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,1,True,Budget,Average,Cooking
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,1,True,Mid-Range,Good,Non-fiction
The Black Maria,52.15,1,In stock,1,True,Premium,Poor,Romance
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,1,True,Budget,Poor,Travel
Shakespeare's Sonnets,20.66,4,In stock,1,True,Mid-Range,Good,Travel
Set Me Free,17.46,5,In stock,1,True,Budget,Good,Romance
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,1,True,Premium,Good,Biography
Rip it Up and Start Again,35.02,5,In stock,1,True,Mid-Range,Good,Fantasy
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,1,True,Premium,Average,Science Fiction
Olio,23.88,1,In stock,1,True,Mid-Range,Poor,History
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,1,True,Mid-Range,Poor,Fantasy
Libertarianism for Beginners,51.33,2,In stock,1,True,Premium,Poor,History
It's Only the Himalayas,45.17,2,In stock,1,True,Premium,Poor,Mystery
In Her Wake,12.84,1,In stock,1,True,Budget,Poor,History
How Music Works,37.32,2,In stock,1,True,Mid-Range,Poor,Travel
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,1,True,Mid-Range,Average,Fiction
Chase Me (Paris Nights #2),25.27,5,In stock,1,True,Mid-Range,Good,Science Fiction
Black Dust,34.53,5,In stock,1,True,Mid-Range,Good,Non-fiction
Birdsong: A Story in Pictures,54.64,3,In stock,1,True,Premium,Average,History
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,1,True,Mid-Range,Average,Romance
